solver,grid_size,sudoku_number,evaluations,backtracks,time_taken,status
CDCL,4x4,1,1,0,0.0014240741729736328,SATISFIABLE
CDCL,4x4,10,1,0,0.0013217926025390625,SATISFIABLE
CDCL,4x4,100,1,0,0.0013430118560791016,SATISFIABLE
CDCL,4x4,11,1,0,0.0013110637664794922,SATISFIABLE
CDCL,4x4,12,1,0,0.0012891292572021484,SATISFIABLE
CDCL,4x4,13,1,0,0.0014941692352294922,SATISFIABLE
CDCL,4x4,14,1,0,0.0012574195861816406,SATISFIABLE
CDCL,4x4,15,1,0,0.0012311935424804688,SATISFIABLE
CDCL,4x4,16,1,0,0.001238107681274414,SATISFIABLE
CDCL,4x4,17,1,0,0.0027780532836914062,SATISFIABLE
CDCL,4x4,18,1,0,0.0012478828430175781,SATISFIABLE
CDCL,4x4,19,1,0,0.0015490055084228516,SATISFIABLE
CDCL,4x4,2,1,0,0.0022041797637939453,SATISFIABLE
CDCL,4x4,20,1,0,0.0011761188507080078,SATISFIABLE
CDCL,4x4,21,1,0,0.001383066177368164,SATISFIABLE
CDCL,4x4,22,1,0,0.0014379024505615234,SATISFIABLE
CDCL,4x4,23,1,0,0.0012176036834716797,SATISFIABLE
CDCL,4x4,24,1,0,0.0012319087982177734,SATISFIABLE
CDCL,4x4,25,1,0,0.0012540817260742188,SATISFIABLE
CDCL,4x4,26,1,0,0.0032501220703125,SATISFIABLE
CDCL,4x4,27,1,0,0.0013461112976074219,SATISFIABLE
CDCL,4x4,28,1,0,0.0019309520721435547,SATISFIABLE
CDCL,4x4,29,1,0,0.0031490325927734375,SATISFIABLE
CDCL,4x4,3,1,0,0.001207113265991211,SATISFIABLE
CDCL,4x4,30,1,0,0.002568960189819336,SATISFIABLE
CDCL,4x4,31,1,0,0.0012140274047851562,SATISFIABLE
CDCL,4x4,32,1,0,0.0012431144714355469,SATISFIABLE
CDCL,4x4,33,1,0,0.0012290477752685547,SATISFIABLE
CDCL,4x4,34,1,0,0.0012478828430175781,SATISFIABLE
CDCL,4x4,35,1,0,0.0012431144714355469,SATISFIABLE
CDCL,4x4,36,1,0,0.0012569427490234375,SATISFIABLE
CDCL,4x4,37,1,0,0.0012700557708740234,SATISFIABLE
CDCL,4x4,38,1,0,0.0013120174407958984,SATISFIABLE
CDCL,4x4,39,1,0,0.0013651847839355469,SATISFIABLE
CDCL,4x4,4,1,0,0.0032351016998291016,SATISFIABLE
CDCL,4x4,40,1,0,0.0013508796691894531,SATISFIABLE
CDCL,4x4,41,1,0,0.001255035400390625,SATISFIABLE
CDCL,4x4,42,1,0,0.0012600421905517578,SATISFIABLE
CDCL,4x4,43,1,0,0.001291036605834961,SATISFIABLE
CDCL,4x4,44,1,0,0.0013418197631835938,SATISFIABLE
CDCL,4x4,45,1,0,0.0012981891632080078,SATISFIABLE
CDCL,4x4,46,1,0,0.0013418197631835938,SATISFIABLE
CDCL,4x4,47,1,0,0.0012121200561523438,SATISFIABLE
CDCL,4x4,48,1,0,0.0011870861053466797,SATISFIABLE
CDCL,4x4,49,1,0,0.0012431144714355469,SATISFIABLE
CDCL,4x4,5,1,0,0.0012989044189453125,SATISFIABLE
CDCL,4x4,50,1,0,0.0013117790222167969,SATISFIABLE
CDCL,4x4,51,1,0,0.0010559558868408203,SATISFIABLE
CDCL,4x4,52,1,0,0.0012531280517578125,SATISFIABLE
CDCL,4x4,53,1,0,0.0012049674987792969,SATISFIABLE
CDCL,4x4,54,1,0,0.0011081695556640625,SATISFIABLE
CDCL,4x4,55,1,0,0.0013098716735839844,SATISFIABLE
CDCL,4x4,56,1,0,0.001302957534790039,SATISFIABLE
CDCL,4x4,57,1,0,0.0033071041107177734,SATISFIABLE
CDCL,4x4,58,1,0,0.0012450218200683594,SATISFIABLE
CDCL,4x4,59,1,0,0.0012829303741455078,SATISFIABLE
CDCL,4x4,6,1,0,0.0012519359588623047,SATISFIABLE
CDCL,4x4,60,1,0,0.0012788772583007812,SATISFIABLE
CDCL,4x4,61,1,0,0.0013632774353027344,SATISFIABLE
CDCL,4x4,62,1,0,0.0029449462890625,SATISFIABLE
CDCL,4x4,63,1,0,0.0012302398681640625,SATISFIABLE
CDCL,4x4,64,1,0,0.0011987686157226562,SATISFIABLE
CDCL,4x4,65,1,0,0.0013320446014404297,SATISFIABLE
CDCL,4x4,66,1,0,0.00335693359375,SATISFIABLE
CDCL,4x4,67,1,0,0.001352071762084961,SATISFIABLE
CDCL,4x4,68,1,0,0.0031299591064453125,SATISFIABLE
CDCL,4x4,69,1,0,0.0010929107666015625,SATISFIABLE
CDCL,4x4,7,1,0,0.0017592906951904297,SATISFIABLE
CDCL,4x4,70,1,0,0.0013127326965332031,SATISFIABLE
CDCL,4x4,71,1,0,0.0013628005981445312,SATISFIABLE
CDCL,4x4,72,1,0,0.0012559890747070312,SATISFIABLE
CDCL,4x4,73,1,0,0.0013031959533691406,SATISFIABLE
CDCL,4x4,74,1,0,0.001230001449584961,SATISFIABLE
CDCL,4x4,75,1,0,0.0012438297271728516,SATISFIABLE
CDCL,4x4,76,1,0,0.0013740062713623047,SATISFIABLE
CDCL,4x4,77,1,0,0.0012691020965576172,SATISFIABLE
CDCL,4x4,78,1,0,0.003390789031982422,SATISFIABLE
CDCL,4x4,79,1,0,0.0013430118560791016,SATISFIABLE
CDCL,4x4,8,1,0,0.0030219554901123047,SATISFIABLE
CDCL,4x4,80,1,0,0.003200054168701172,SATISFIABLE
CDCL,4x4,81,1,0,0.0031337738037109375,SATISFIABLE
CDCL,4x4,82,1,0,0.001055002212524414,SATISFIABLE
CDCL,4x4,83,1,0,0.0013477802276611328,SATISFIABLE
CDCL,4x4,84,1,0,0.001203298568725586,SATISFIABLE
CDCL,4x4,85,1,0,0.0033931732177734375,SATISFIABLE
CDCL,4x4,86,1,0,0.0012409687042236328,SATISFIABLE
CDCL,4x4,87,1,0,0.0031249523162841797,SATISFIABLE
CDCL,4x4,88,1,0,0.0012679100036621094,SATISFIABLE
CDCL,4x4,89,1,0,0.0012247562408447266,SATISFIABLE
CDCL,4x4,9,1,0,0.003170013427734375,SATISFIABLE
CDCL,4x4,90,1,0,0.0013370513916015625,SATISFIABLE
CDCL,4x4,91,1,0,0.0012521743774414062,SATISFIABLE
CDCL,4x4,92,1,0,0.0033681392669677734,SATISFIABLE
CDCL,4x4,93,1,0,0.0012569427490234375,SATISFIABLE
CDCL,4x4,94,1,0,0.0012249946594238281,SATISFIABLE
CDCL,4x4,95,1,0,0.0011968612670898438,SATISFIABLE
CDCL,4x4,96,1,0,0.0012958049774169922,SATISFIABLE
CDCL,4x4,97,1,0,0.0012669563293457031,SATISFIABLE
CDCL,4x4,98,1,0,0.0013730525970458984,SATISFIABLE
CDCL,4x4,99,1,0,0.001291036605834961,SATISFIABLE
CDCL,9x9-hard,1,41,20,0.4811530113220215,SATISFIABLE
CDCL,9x9-hard,10,3,0,0.3006608486175537,SATISFIABLE
CDCL,9x9-hard,100,15,6,0.3512139320373535,SATISFIABLE
CDCL,9x9-hard,11,46,22,0.43128204345703125,SATISFIABLE
CDCL,9x9-hard,12,18,6,0.3373739719390869,SATISFIABLE
CDCL,9x9-hard,13,18,8,0.41286611557006836,SATISFIABLE
CDCL,9x9-hard,14,7,2,0.303088903427124,SATISFIABLE
CDCL,9x9-hard,15,83,40,0.6471700668334961,SATISFIABLE
CDCL,9x9-hard,16,38,17,0.4416682720184326,SATISFIABLE
CDCL,9x9-hard,17,46,21,0.48707008361816406,SATISFIABLE
CDCL,9x9-hard,18,14,5,0.34923791885375977,SATISFIABLE
CDCL,9x9-hard,19,21,9,0.36668896675109863,SATISFIABLE
CDCL,9x9-hard,2,35,16,0.48741984367370605,SATISFIABLE
CDCL,9x9-hard,20,3,0,0.3096940517425537,SATISFIABLE
CDCL,9x9-hard,21,36,16,0.4556117057800293,SATISFIABLE
CDCL,9x9-hard,22,22,9,0.34465599060058594,SATISFIABLE
CDCL,9x9-hard,23,11,4,0.33645105361938477,SATISFIABLE
CDCL,9x9-hard,24,43,19,0.4080369472503662,SATISFIABLE
CDCL,9x9-hard,25,15,6,0.34915971755981445,SATISFIABLE
CDCL,9x9-hard,26,54,26,0.5173377990722656,SATISFIABLE
CDCL,9x9-hard,27,15,6,0.347672700881958,SATISFIABLE
CDCL,9x9-hard,28,49,23,0.43967413902282715,SATISFIABLE
CDCL,9x9-hard,29,43,20,0.45000290870666504,SATISFIABLE
CDCL,9x9-hard,3,34,15,0.38367319107055664,SATISFIABLE
CDCL,9x9-hard,30,26,11,0.40525007247924805,SATISFIABLE
CDCL,9x9-hard,31,20,9,0.3831319808959961,SATISFIABLE
CDCL,9x9-hard,32,39,17,0.47597193717956543,SATISFIABLE
CDCL,9x9-hard,33,42,19,0.45960307121276855,SATISFIABLE
CDCL,9x9-hard,34,41,19,0.526669979095459,SATISFIABLE
CDCL,9x9-hard,35,16,7,0.37760305404663086,SATISFIABLE
CDCL,9x9-hard,36,46,21,0.45847511291503906,SATISFIABLE
CDCL,9x9-hard,37,41,19,0.5032050609588623,SATISFIABLE
CDCL,9x9-hard,38,29,13,0.43938279151916504,SATISFIABLE
CDCL,9x9-hard,39,10,3,0.32981109619140625,SATISFIABLE
CDCL,9x9-hard,4,110,53,0.8631649017333984,SATISFIABLE
CDCL,9x9-hard,40,40,18,0.4804699420928955,SATISFIABLE
CDCL,9x9-hard,41,55,26,0.6147613525390625,SATISFIABLE
CDCL,9x9-hard,42,6,1,0.33223795890808105,SATISFIABLE
CDCL,9x9-hard,43,20,8,0.4064791202545166,SATISFIABLE
CDCL,9x9-hard,44,11,4,0.3346397876739502,SATISFIABLE
CDCL,9x9-hard,45,16,6,0.33222103118896484,SATISFIABLE
CDCL,9x9-hard,46,37,17,0.44272685050964355,SATISFIABLE
CDCL,9x9-hard,47,68,32,0.4757039546966553,SATISFIABLE
CDCL,9x9-hard,48,18,8,0.390949010848999,SATISFIABLE
CDCL,9x9-hard,49,6,2,0.3247060775756836,SATISFIABLE
CDCL,9x9-hard,5,126,60,0.7226040363311768,SATISFIABLE
CDCL,9x9-hard,50,31,15,0.4485797882080078,SATISFIABLE
CDCL,9x9-hard,51,5,1,0.3041367530822754,SATISFIABLE
CDCL,9x9-hard,52,11,4,0.3498399257659912,SATISFIABLE
CDCL,9x9-hard,53,6,2,0.33115291595458984,SATISFIABLE
CDCL,9x9-hard,54,17,7,0.43280816078186035,SATISFIABLE
CDCL,9x9-hard,55,29,13,0.45156383514404297,SATISFIABLE
CDCL,9x9-hard,56,74,34,0.5791850090026855,SATISFIABLE
CDCL,9x9-hard,57,12,4,0.3745098114013672,SATISFIABLE
CDCL,9x9-hard,58,94,46,0.762394905090332,SATISFIABLE
CDCL,9x9-hard,59,8,3,0.3190739154815674,SATISFIABLE
CDCL,9x9-hard,6,81,38,0.6830167770385742,SATISFIABLE
CDCL,9x9-hard,60,46,22,0.416715145111084,SATISFIABLE
CDCL,9x9-hard,61,7,2,0.3500330448150635,SATISFIABLE
CDCL,9x9-hard,62,73,35,0.5628929138183594,SATISFIABLE
CDCL,9x9-hard,63,15,6,0.34630894660949707,SATISFIABLE
CDCL,9x9-hard,64,10,4,0.34711194038391113,SATISFIABLE
CDCL,9x9-hard,65,12,4,0.368725061416626,SATISFIABLE
CDCL,9x9-hard,66,123,59,0.9523141384124756,SATISFIABLE
CDCL,9x9-hard,67,23,10,0.41241979598999023,SATISFIABLE
CDCL,9x9-hard,68,7,2,0.32752299308776855,SATISFIABLE
CDCL,9x9-hard,69,102,48,0.7150321006774902,SATISFIABLE
CDCL,9x9-hard,7,10,4,0.3455479145050049,SATISFIABLE
CDCL,9x9-hard,70,9,4,0.3498969078063965,SATISFIABLE
CDCL,9x9-hard,71,31,13,0.4300839900970459,SATISFIABLE
CDCL,9x9-hard,72,24,10,0.36508798599243164,SATISFIABLE
CDCL,9x9-hard,73,33,14,0.4180018901824951,SATISFIABLE
CDCL,9x9-hard,74,43,20,0.4999661445617676,SATISFIABLE
CDCL,9x9-hard,75,65,31,0.6099269390106201,SATISFIABLE
CDCL,9x9-hard,76,15,6,0.32703614234924316,SATISFIABLE
CDCL,9x9-hard,77,55,25,0.5501902103424072,SATISFIABLE
CDCL,9x9-hard,78,4,1,0.29941821098327637,SATISFIABLE
CDCL,9x9-hard,79,12,4,0.33837080001831055,SATISFIABLE
CDCL,9x9-hard,8,10,4,0.31720900535583496,SATISFIABLE
CDCL,9x9-hard,80,27,12,0.39418506622314453,SATISFIABLE
CDCL,9x9-hard,81,10,4,0.32811808586120605,SATISFIABLE
CDCL,9x9-hard,82,8,1,0.3138387203216553,SATISFIABLE
CDCL,9x9-hard,83,3,0,0.3550877571105957,SATISFIABLE
CDCL,9x9-hard,84,34,16,0.4375190734863281,SATISFIABLE
CDCL,9x9-hard,85,23,11,0.4010279178619385,SATISFIABLE
CDCL,9x9-hard,86,3,0,0.30255627632141113,SATISFIABLE
CDCL,9x9-hard,87,53,25,0.4634850025177002,SATISFIABLE
CDCL,9x9-hard,88,9,3,0.32881617546081543,SATISFIABLE
CDCL,9x9-hard,89,14,4,0.3486180305480957,SATISFIABLE
CDCL,9x9-hard,9,14,6,0.3636050224304199,SATISFIABLE
CDCL,9x9-hard,90,16,7,0.3508789539337158,SATISFIABLE
CDCL,9x9-hard,91,27,12,0.4330024719238281,SATISFIABLE
CDCL,9x9-hard,92,34,16,0.43483471870422363,SATISFIABLE
CDCL,9x9-hard,93,21,10,0.39181065559387207,SATISFIABLE
CDCL,9x9-hard,94,45,21,0.5557613372802734,SATISFIABLE
CDCL,9x9-hard,95,7,2,0.32755303382873535,SATISFIABLE
CDCL,9x9-hard,96,16,7,0.3620471954345703,SATISFIABLE
CDCL,9x9-hard,97,47,23,0.3965456485748291,SATISFIABLE
CDCL,9x9-hard,98,49,23,0.6103777885437012,SATISFIABLE
CDCL,9x9-hard,99,4,0,0.32001709938049316,SATISFIABLE
CDCL,9x9,1,3,1,0.30172109603881836,SATISFIABLE
CDCL,9x9,10,7,2,0.3184959888458252,SATISFIABLE
CDCL,9x9,100,1,0,0.31216907501220703,SATISFIABLE
CDCL,9x9,11,55,26,0.4943082332611084,SATISFIABLE
CDCL,9x9,12,1,0,0.29924702644348145,SATISFIABLE
CDCL,9x9,13,7,3,0.3145589828491211,SATISFIABLE
CDCL,9x9,14,9,3,0.318418025970459,SATISFIABLE
CDCL,9x9,15,2,0,0.3050539493560791,SATISFIABLE
CDCL,9x9,16,9,4,0.32958221435546875,SATISFIABLE
CDCL,9x9,17,1,0,0.311553955078125,SATISFIABLE
CDCL,9x9,18,1,0,0.30933499336242676,SATISFIABLE
CDCL,9x9,19,1,0,0.30367588996887207,SATISFIABLE
CDCL,9x9,2,1,0,0.30524182319641113,SATISFIABLE
CDCL,9x9,20,1,0,0.307358980178833,SATISFIABLE
CDCL,9x9,21,1,0,0.30292201042175293,SATISFIABLE
CDCL,9x9,22,6,1,0.31780123710632324,SATISFIABLE
CDCL,9x9,23,8,3,0.3298652172088623,SATISFIABLE
CDCL,9x9,24,1,0,0.3138246536254883,SATISFIABLE
CDCL,9x9,25,2,0,0.3051161766052246,SATISFIABLE
CDCL,9x9,26,7,2,0.32146382331848145,SATISFIABLE
CDCL,9x9,27,3,1,0.3052499294281006,SATISFIABLE
CDCL,9x9,28,4,1,0.32099413871765137,SATISFIABLE
CDCL,9x9,29,1,0,0.3104689121246338,SATISFIABLE
CDCL,9x9,3,5,1,0.3167250156402588,SATISFIABLE
CDCL,9x9,30,1,0,0.3140552043914795,SATISFIABLE
CDCL,9x9,31,3,1,0.3170602321624756,SATISFIABLE
CDCL,9x9,32,1,0,0.3104250431060791,SATISFIABLE
CDCL,9x9,33,3,1,0.31696486473083496,SATISFIABLE
CDCL,9x9,34,1,0,0.31240415573120117,SATISFIABLE
CDCL,9x9,35,13,6,0.3555610179901123,SATISFIABLE
CDCL,9x9,36,21,9,0.37536120414733887,SATISFIABLE
CDCL,9x9,37,3,1,0.30860304832458496,SATISFIABLE
CDCL,9x9,38,2,0,0.31255102157592773,SATISFIABLE
CDCL,9x9,39,1,0,0.31841301918029785,SATISFIABLE
CDCL,9x9,4,1,0,0.3053617477416992,SATISFIABLE
CDCL,9x9,40,3,0,0.3041388988494873,SATISFIABLE
CDCL,9x9,41,51,24,0.4812800884246826,SATISFIABLE
CDCL,9x9,42,1,0,0.30902886390686035,SATISFIABLE
CDCL,9x9,43,1,0,0.30785608291625977,SATISFIABLE
CDCL,9x9,44,5,2,0.3195469379425049,SATISFIABLE
CDCL,9x9,45,17,7,0.3468899726867676,SATISFIABLE
CDCL,9x9,46,4,0,0.3124699592590332,SATISFIABLE
CDCL,9x9,47,1,0,0.3077538013458252,SATISFIABLE
CDCL,9x9,48,1,0,0.7376511096954346,SATISFIABLE
CDCL,9x9,49,10,4,0.3505377769470215,SATISFIABLE
CDCL,9x9,5,1,0,0.31023120880126953,SATISFIABLE
CDCL,9x9,50,12,5,0.6641499996185303,SATISFIABLE
CDCL,9x9,51,1,0,0.3237578868865967,SATISFIABLE
CDCL,9x9,52,1,0,0.3067028522491455,SATISFIABLE
CDCL,9x9,53,2,0,0.30914902687072754,SATISFIABLE
CDCL,9x9,54,1,0,0.3007810115814209,SATISFIABLE
CDCL,9x9,55,19,9,0.48280811309814453,SATISFIABLE
CDCL,9x9,56,23,11,0.3778212070465088,SATISFIABLE
CDCL,9x9,57,1,0,0.30380678176879883,SATISFIABLE
CDCL,9x9,58,1,0,0.3187699317932129,SATISFIABLE
CDCL,9x9,59,31,13,0.374586820602417,SATISFIABLE
CDCL,9x9,6,2,0,0.31063413619995117,SATISFIABLE
CDCL,9x9,60,25,12,0.42795801162719727,SATISFIABLE
CDCL,9x9,61,12,5,0.37278008460998535,SATISFIABLE
CDCL,9x9,62,1,0,0.3119349479675293,SATISFIABLE
CDCL,9x9,63,4,1,0.31207275390625,SATISFIABLE
CDCL,9x9,64,1,0,0.3084249496459961,SATISFIABLE
CDCL,9x9,65,1,0,0.3127753734588623,SATISFIABLE
CDCL,9x9,66,8,2,0.3273499011993408,SATISFIABLE
CDCL,9x9,67,1,0,0.31644678115844727,SATISFIABLE
CDCL,9x9,68,6,2,0.3197603225708008,SATISFIABLE
CDCL,9x9,69,1,0,0.3247342109680176,SATISFIABLE
CDCL,9x9,7,1,0,0.303607702255249,SATISFIABLE
CDCL,9x9,70,1,0,0.30356717109680176,SATISFIABLE
CDCL,9x9,71,60,28,0.5140700340270996,SATISFIABLE
CDCL,9x9,72,4,1,0.32912683486938477,SATISFIABLE
CDCL,9x9,73,4,0,0.3153512477874756,SATISFIABLE
CDCL,9x9,74,3,0,0.3073880672454834,SATISFIABLE
CDCL,9x9,75,1,0,0.3110678195953369,SATISFIABLE
CDCL,9x9,76,1,0,0.3064761161804199,SATISFIABLE
CDCL,9x9,77,1,0,0.31293702125549316,SATISFIABLE
CDCL,9x9,78,1,0,0.32048821449279785,SATISFIABLE
CDCL,9x9,79,32,15,0.3777501583099365,SATISFIABLE
CDCL,9x9,8,1,0,0.3139829635620117,SATISFIABLE
CDCL,9x9,80,2,0,0.3106229305267334,SATISFIABLE
CDCL,9x9,81,13,4,0.34501194953918457,SATISFIABLE
CDCL,9x9,82,13,5,0.3294379711151123,SATISFIABLE
CDCL,9x9,83,1,0,0.30349302291870117,SATISFIABLE
CDCL,9x9,84,5,1,0.31827521324157715,SATISFIABLE
CDCL,9x9,85,1,0,0.31264591217041016,SATISFIABLE
CDCL,9x9,86,7,3,0.3287501335144043,SATISFIABLE
CDCL,9x9,87,4,1,0.3161430358886719,SATISFIABLE
CDCL,9x9,88,1,0,0.3027799129486084,SATISFIABLE
CDCL,9x9,89,5,2,0.31265783309936523,SATISFIABLE
CDCL,9x9,9,1,0,0.3094747066497803,SATISFIABLE
CDCL,9x9,90,7,3,0.3107798099517822,SATISFIABLE
CDCL,9x9,91,8,3,0.32160305976867676,SATISFIABLE
CDCL,9x9,92,12,4,0.3332858085632324,SATISFIABLE
CDCL,9x9,93,11,4,0.33487391471862793,SATISFIABLE
CDCL,9x9,94,1,0,0.3044426441192627,SATISFIABLE
CDCL,9x9,95,1,0,0.3144550323486328,SATISFIABLE
CDCL,9x9,96,7,2,0.3238351345062256,SATISFIABLE
CDCL,9x9,97,2,0,0.31082582473754883,SATISFIABLE
